"id","description","abbreviation","period","info","comments"
308,"Dienstauszeichnung der Wehrmacht 1. Klasse","Wehrmacht","1936-1945","",""
309,"Dienstauszeichnung der Wehrmacht 3. Klasse","Wehrmacht","1936-1945","",""
310,"Krimschild für das Heer","Krimschild","1942-","",""
311,"14 / Ehrendegen des RFSS","SS-Degen","","",""
312,"""Im Feld erworbene Landesorden"" (DAL)","Landesorden","DAL 1938","",""
313,"4 / Pour le mérite","","","",""
314,"5 / Goldenes Preußisches Militärverdienstkreuz","","","",""
315,"8 / Eisernes Kreuz am weißen Bande","Eisernes Kreuz","","",""
316,"10 / Im Felde erworbene Landesorden","Landesorden","","",""
317,"20 / Attest über lebenslängliche Sportbehinderung","Sportbehinderung","","",""
318,"21 / Schwerkriegsbeschädigter","Schwerkriegsbeschädigter","","",""
319,"22 / Lebensborn","Lebensborn","","",""
